Condition/Year,Make-Model,Price,Vin
New 2025,RAM ProMaster 2500 High Roof,"$57,925",VIN: 3C6LRVDG5SE543773
New 2025,RAM ProMaster 2500 High Roof,"$57,925",VIN: 3C6LRVDG3SE543772
New 2025,Jeep Wrangler Willys,"$57,225",VIN: 1C4PJXDG7SW544328
New 2025,Jeep Wrangler Willys,"$57,225",VIN: 1C4PJXDG5SW544330
New 2025,RAM 1500 Big Horn,"$64,570",VIN: 1C6SRFFP8SN688655
New 2025,Chrysler Pacifica Hybrid Pinnacle,"$61,975",VIN: 2C4RC1N78SR540022
New 2025,Jeep Wrangler Sport S 4xe,"$62,635",VIN: 1C4RJXN61SW503529
New 2024,Jeep Wrangler Rubicon,"$61,265",VIN: 1C4PJXFN8RW365902
New 2024,RAM ProMaster 3500 Super High Roof,"$61,265",VIN: 3C6MRVSGXRE127834
New 2025,RAM 1500 Big Horn,"$65,470",VIN: 1C6SRFFP5SN707999
New 2025,Jeep Wrangler Sport S,"$56,418",VIN: 1C4PJXDN0SW503263
New 2024,Jeep Wrangler Sahara 4xe,"$65,270",VIN: 1C4RJXP65RW208893
New 2024,Jeep Wrangler Sahara 4xe,"$65,270",VIN: 1C4RJXP64RW205385
New 2024,Jeep Grand Cherokee 4xe,"$62,880",VIN: 1C4RJYB69RC106186
New 2025,Jeep Gladiator Rubicon,"$64,315",VIN: 1C6RJTBG1SL506915
New 2025,Jeep Wrangler Willys,"$59,065",VIN: 1C4RJXDN6SW532114
New 2025,RAM 1500 Laramie,"$71,055",VIN: 1C6SRFJPXSN635088
New 2025,Dodge Charger R/T,"$61,590",VIN: 2C3CDBCK3SR538621
New 2024,Jeep Wrangler Willys 4xe,"$66,605",VIN: 1C4RJXN63RW189165
New 2025,RAM 1500 Laramie,"$71,810",VIN: 1C6SRFJPXSN655390
New 2024,Jeep Wrangler Sahara 4xe,"$68,460",VIN: 1C4RJXP60RW317620
New 2025,RAM 1500 Laramie,"$73,700",VIN: 1C6SRFJP8SN522725
New 2025,Jeep Wrangler Sahara,"$61,515",VIN: 1C4PJXEN3SW539530
New 2024,Jeep Wagoneer S Launch Edition,"$72,995",VIN: 3C4RJNAK6RT178190
New 2025,RAM 1500 Laramie,"$74,810",VIN: 1C6SRFJP6SN554444
New 2025,Jeep Wrangler Sahara,"$62,410",VIN: 1C4PJXEN5SW539531
New 2024,Jeep Wagoneer S Launch Edition,"$73,590",VIN: 3C4RJNAK3RT179801
New 2025,Dodge Charger R/T,"$64,880",VIN: 2C3CDBCK9SR559747
New 2025,Jeep Wrangler Rubicon,"$63,000",VIN: 1C4PJXFN7SW539528
New 2025,Dodge Durango R/T Plus,"$59,590",VIN: 1C4SDJCT6SC506975
New 2025,Dodge Durango R/T Plus,"$59,590",VIN: 1C4SDJCT2SC506973
New 2025,RAM 1500 Laramie,"$71,210",VIN: 1C6SRFJP1SN719364
New 2025,RAM 1500 Laramie,"$72,045",VIN: 1C6SRFJP9SN669734
New 2025,Jeep Wrangler Rubicon,"$64,400",VIN: 1C4PJXFG8SW550183
New 2025,Dodge Durango R/T Plus,"$59,946",VIN: 1C4SDJCT4SC506974
New 2025,Jeep Wrangler Rubicon,"$63,595",VIN: 1C4PJXFN4SW541866
New 2025,Jeep Wrangler Rubicon,"$63,595",VIN: 1C4PJXFN1SW531831
New 2025,Jeep Wrangler Rubicon,"$63,895",VIN: 1C4PJXFN9SW539529
New 2025,Jeep Wrangler Rubicon,"$64,995",VIN: 1C4PJXFG6SW550182
New 2025,Jeep Wrangler Rubicon,"$64,995",VIN: 1C4PJXFG4SW550181
New 2025,RAM 1500 Laramie,"$72,695",VIN: 1C6SRFJP2SN683619
New 2025,RAM 1500 Laramie,"$72,745",VIN: 1C6SRFJP2SN683622
New 2024,RAM 3500 Tradesman,"$68,990",VIN: 3C63R3GL3RG308333
New 2025,RAM 1500 Laramie,"$71,995",VIN: 1C6SRFJP7SN669733
New 2024,Jeep Wagoneer S Launch Edition,"$73,590",VIN: 3C4RJNAK0RT173597
New 2025,RAM 1500 Rebel,"$73,665",VIN: 1C6SRFLP2SN598437
New 2025,RAM 1500 Laramie,"$72,450",VIN: 1C6SRFJP0SN684316
New 2025,RAM 1500 Laramie,"$72,450",VIN: 1C6SRFJP0SN683621
New 2024,RAM 3500 Tradesman,"$69,830",VIN: 3C63R3CL5RG313717
New 2025,RAM 1500 Laramie,"$72,795",VIN: 1C6SRFJP9SN684315
New 2025,RAM 1500 Laramie,"$72,845",VIN: 1C6SRFJP2SN684317
New 2025,Jeep Wrangler Willys 4xe,"$70,555",VIN: 1C4RJXN6XSW516103
New 2024,Dodge Charger R/T,"$70,970",VIN: 2C3CDBCK2RR206597
New 2025,RAM 1500 Rebel,"$73,960",VIN: 1C6SRFLP0SN598436
New 2025,RAM 1500 Laramie,"$72,845",VIN: 1C6SRFJP9SN683620
New 2025,RAM 1500 Laramie,"$74,615",VIN: 1C6SRFJP4SN671276
New 2025,Jeep Wrangler Willys 4xe,"$71,900",VIN: 1C4RJXN63SW516105
New 2025,Jeep Wrangler Willys 4xe,"$71,900",VIN: 1C4RJXN61SW516104
New 2025,RAM 1500 Laramie,"$75,560",VIN: 1C6SRFJP7SN658005
New 2025,RAM 1500 Laramie,"$75,755",VIN: 1C6SRFJP2SN664942
New 2025,RAM 1500 Laramie,"$75,855",VIN: 1C6SRFJP0SN705519
New 2025,RAM 1500 Laramie,"$76,150",VIN: 1C6SRFJP3SN716417
New 2025,RAM 1500 Laramie,"$75,955",VIN: 1C6SRFJPXSN671279
