Condition_Year,Make_Model,Price,Vin
New 2025,RAM 1500 Tungsten,"$94,065",VIN: 1C6SRFKP1SN630778
New 2025,Jeep Gladiator Nighthawk,"$44,680",VIN: 1C6PJTAG9SL511689
New 2025,Jeep Gladiator Nighthawk,"$42,790",VIN: 1C6PJTAG8SL513997
New 2025,Jeep Gladiator Nighthawk,"$43,385",VIN: 1C6PJTAG7SL511691
New 2025,Jeep Grand Cherokee Overland,"$66,230",VIN: 1C4RJHDG4S8675154
New 2025,Dodge Durango GT,"$42,480",VIN: 1C4RDHDG9SC528266
New 2025,Dodge Durango GT,"$42,085",VIN: 1C4RDHDG4SC538011
New 2025,Dodge Durango GT,"$42,085",VIN: 1C4RDHDG2SC538010
New 2024,RAM 5500 Chassis Cab Tradesman,"$83,805",VIN: 3C7WRNFL7RG409610
New 2024,RAM 5500 Chassis Cab Tradesman,"$70,985",VIN: 3C7WRMBL6RG404415
New 2025,RAM ProMaster Base,"$53,060",VIN: 3C6LRVBG5SE542206
New 2025,RAM ProMaster Base,"$53,160",VIN: 3C6LRVBG2SE550571
New 2025,Jeep Gladiator Sport,"$54,240",VIN: 1C6RJTAG5SL527039
New 2025,Jeep Gladiator Sport,"$54,240",VIN: 1C6RJTAG3SL527038
New 2025,Jeep Gladiator Sport,"$54,240",VIN: 1C6RJTAG1SL527037
New 2025,Jeep Gladiator Sport,"$47,350",VIN: 1C6PJTAG9SL522448
New 2025,Jeep Gladiator Sport,"$46,755",VIN: 1C6PJTAG7SL522447
New 2025,Jeep Gladiator Sport,"$47,350",VIN: 1C6PJTAG5SL522446
New 2025,Jeep Gladiator Sport,"$47,350",VIN: 1C6PJTAG3SL522445
New 2025,Jeep Gladiator Sport,"$47,350",VIN: 1C6PJTAG0SL522449
New 2025,Jeep Grand Cherokee L Overland,"$67,635",VIN: 1C4RJKDG2S8686604
New 2024,RAM 5500 Chassis Cab Tradesman,"$70,985",VIN: 3C7WRMBL4RG404414
New 2024,RAM 5500 Chassis Cab Tradesman,"$70,985",VIN: 3C7WRMBL2RG404413
